"name","state","adm_rate","satv25","satv50","satv75","satm25","satm50","satm75","pell_grant_rate","fed_loan_rate","ug","ug_men","ug_women","ug_white","ug_black","ug_hispanic","ug_asian","ug_25plus","first_gen","tuition","math_deg","faculty_salary","engi_deg","bio_deg","sci_deg","human_deg","psych_deg","engl_deg","edu_deg","foreign_lang_deg","law_deg","comm_deg","compsci_deg","arch_deg","agri_deg","hist_deg","socialsci_deg","health_deg","business_deg","ft_faculty_rate","endowment","booksupply","roomboard"
"Sweet Briar College","VA",0.79,540,585,630,470,525,580,0.3065,0.5625,300,0,1,0.7425,0.0868,0.0599,0.024,0.0342,0.232,21090,0,6800,0.0769,0.0385,0,0.1923,0.0769,0.0769,0,0,0,0,0,0,0,0.0385,0.1538,0,0.2308,0.8627,70456541,1300,13200
"Salem College","NC",0.8,460,520,580,450,505,560,0.5469,0.7102,600,0.0291,0.9709,0.5453,0.1726,0.1624,0.0171,0.2102,0.3273137698,27756,0.0404,6100,0,0.1263,0.0101,0.0253,0.0859,0.0606,0.0455,0.0152,0,0,0,0,0,0.0455,0.0556,0,0.1616,0.5484,59857730,1280,12000
"Barry University","FL",0.51,480,515,550,450,490,530,0.4832,0.5498,3500,0.3655,0.6345,0.1682,0.3563,0.3566,0.0101,0.3296,0.4355670103,26964,0.0044,8200,0,0.0713,0.0029,0.0509,0.0291,0.0087,0.0131,0,0.0044,0,0.0495,0,0,0,0.0291,0.2125,0.3057,0.2877,45448212,1500,11474
"Texas A&M University-Texarkana","TX",0.94,480,530,580,490,530,570,0.5153,0.5512,1700,0.3814,0.6186,0.5275,0.1682,0.153,0.0123,0.38,0.4750519751,17815,0.0296,8100,0.0243,0.0539,0.0027,0.0863,0.0701,0.0162,0,0,0,0,0.0108,0,0,0.0377,0.035,0.035,0.2049,0.4709,7526922,1400,10444
"Blue Mountain College","MS",0.96,450,510,570,590,595,600,0.4865,0.5832,600,0.4647,0.5353,0.763,0.1334,0.0283,0,0.1086,0.3695652174,12350,0.0154,5300,0,0.0538,0,0.0231,0.1462,0,0.2462,0.0077,0,0,0,0,0,0.0692,0,0,0.2077,0.6667,19900336,1200,7100
"Baker University","KS",0.88,490,535,580,510,550,590,0.2666,0.5075,1400,0.4209,0.5791,0.7209,0.0806,0.0892,0.0144,0.2087,0.3628922237,26520,0.0056,6000,0,0.0336,0.0196,0,0.0336,0.0056,0.0644,0.0028,0,0,0.0084,0,0,0.0084,0.0336,0.2017,0.4986,0.2409,43687082,1200,8350
"Rose-Hulman Institute of Technology","IN",0.74,600,650,700,648,704,760,0.1276,0.4542,2000,0.757,0.243,0.6461,0.0397,0.0472,0.0587,0.004,0.1438016529,52997,0.0306,11100,0.7959,0.0224,0.0122,0,0,0,0,0,0,0,0.1388,0,0,0,0,0,0,0.9505,218153297,1500,15414
"Nyack College","NY",0.98,420,480,540,400,465,530,0.5427,0.6557,1000,0.4497,0.5503,0.1529,0.2988,0.3343,0.0602,0.4309,0.3739495798,22460,0,6700,0,0.0145,0,0.1098,0.0578,0.026,0.0289,0,0,0,0.0145,0,0,0.0058,0.0087,0.0723,0.289,0.3318,4393633,1000,10000
"Murray State University","KY",0.82,530,580,630,505,563,620,0.3117,0.4336,6800,0.3949,0.6051,0.8175,0.0625,0.0227,0.0069,0.0983,0.3395573997,23852,0.0062,6800,0.0212,0.0206,0.0218,0.0667,0.0299,0.015,0.0817,0.0081,0,0.0031,0.0299,0,0.0705,0.0181,0.0299,0.1678,0.1135,0.8078,89899351,1260,9466
"Williams Baptist University","AR",0.59,440,450,460,510,520,530,0.4363,0.5929,500,0.5352,0.4648,0.7285,0.1309,0.041,0,0.0475,0.3235294118,17330,0,5500,0,0.0556,0,0.25,0.1111,0.0417,0.1528,0,0,0,0,0,0,0.0139,0,0,0.1667,1,15583156,1250,8296
"Ohio University-Main Campus","OH",0.82,530,585,640,520,570,620,0.2416,0.5096,20500,0.3965,0.6035,0.8215,0.0557,0.0349,0.0143,0.2241,0.3386957545,21916,0.0029,9200,0.0306,0.0376,0.0095,0.0536,0.0241,0.0063,0.0378,0.0043,0,0,0.0172,0,0,0.0065,0.0464,0.3522,0.1373,0.767,580656637,962,13332
"South Carolina State University","SC",0.66,420,460,500,420,455,490,0.7218,0.7547,2100,0.4713,0.5287,0.0245,0.9491,0.0047,0.0014,0.0817,0.3593109106,21120,0.006,7100,0.015,0.0811,0.012,0,0.027,0.012,0.1261,0,0,0,0.03,0,0.015,0.006,0.039,0.036,0.1502,1,10839468,2000,9000
"Culver-Stockton College","MO",0.52,460,505,550,450,490,530,0.4299,0.803,900,0.5416,0.4584,0.6886,0.1308,0.0714,0.0086,0.0412,0.3187613843,24925,0.0105,5600,0,0.0579,0,0.0158,0.1053,0.0053,0.1316,0,0.0158,0,0,0,0,0.0158,0,0.1,0.2526,0.5778,29466766,1100,8695
"University of South Carolina Aiken","SC",0.56,490,540,590,470,510,550,0.404,0.5362,3000,0.3456,0.6544,0.5834,0.2632,0.0524,0.0101,0.1848,0.3270967742,19178,0.0315,7200,0.0204,0.0907,0.0093,0,0.0648,0.0278,0.1222,0,0,0,0,0,0,0.013,0.0519,0.1481,0.2241,0.5623,27380430,1240,7946
"Boston University","MA",0.19,650,685,720,690,740,790,0.1559,0.3112,16900,0.4107,0.5893,0.3637,0.0407,0.1173,0.1713,0.0454,0.169382716,56912,0.017,14600,0.0791,0.086,0.0132,0,0.0481,0.0099,0.0282,0.0057,0.0012,0,0.0513,0.0032,0,0.0079,0.1473,0.0714,0.2076,0.7052,2311388000,1000,16160
"Texas Southern University","TX",0.91,430,465,500,410,455,500,0.6511,0.6606,7100,0.4057,0.5943,0.0141,0.8181,0.0801,0.0142,0.2045,0.3879505924,19973,0.0098,7700,0.0429,0.0732,0.008,0.0598,0.042,0.0134,0,0.0054,0,0,0.0295,0,0,0.0125,0.025,0.1188,0.2527,0.6541,58037740,1640,9664
"Kutztown University of Pennsylvania","PA",0.9,490,535,580,480,520,560,0.3528,0.7199,6900,0.4525,0.5475,0.7419,0.0787,0.0885,0.0197,0.0856,0.3466419884,14946,0.0063,9500,0,0.0395,0.0264,0.0063,0.0703,0.0326,0.1356,0.0038,0,0,0.0446,0,0,0.0126,0.0389,0,0.1971,0.8626,31869634,1440,11626
"Rhode Island College","RI",0.78,450,500,550,430,480,530,0.4553,0.5495,6300,0.3056,0.6944,0.5524,0.1076,0.2301,0.0304,0.2215,0.4470872113,23103,0.0043,9100,0,0.0202,0.0108,0.008,0.1092,0.026,0.094,0.0036,0,0,0.0231,0,0,0.0137,0.0304,0.1988,0.2249,1,31903380,1200,12394
"Texas A & M University-Commerce","TX",0.43,480,530,580,470,520,570,0.462,0.5065,8300,0.4063,0.5937,0.4181,0.2131,0.2227,0.0219,0.2445,0.4202706288,21618,0.0141,8100,0.0186,0.0169,0.0056,0.0909,0.0468,0.0214,0.0045,0.0056,0.0079,0,0.0265,0,0.0367,0.0119,0.0186,0.0299,0.1501,0.9804,25877747,1317,9503
"Kentucky Christian University","KY",0.4,410,455,500,412,461,510,0.4281,0.6066,500,0.6085,0.3915,0.666,0.1763,0.0575,0.0019,0.0778,0.2957746479,17296,0,4800,0,0.0471,0,0,0.0588,0,0.1412,0,0,0,0,0,0,0.0353,0,0.3294,0.1647,0.3187,6467361,1200,8480
"Texas A&M University-San Antonio","TX",0.44,470,525,580,460,505,550,0.5197,0.4994,5900,0.3844,0.6156,0.1448,0.0576,0.7472,0.0103,0.4322,0.5349344978,21937,0.003,8200,0,0.0303,0,0,0.0584,0.0281,0,8e-04,0,0,0.0053,0,0,0.0334,0.1184,8e-04,0.2686,1,3664590,1392,10420
"The College of New Jersey","NJ",0.49,580,625,670,580,635,690,0.1714,0.519,6700,0.4246,0.5754,0.6181,0.0563,0.147,0.1159,0.0211,0.2052256532,27151,0.0356,10500,0.0599,0.0617,0.0184,0,0.0611,0.0463,0.1454,0.0024,0,0,0.0172,0,0,0.0332,0.0623,0.0748,0.2226,0.458,46208000,1200,14048
"Connecticut College","CT",0.37,650,680,710,660,700,740,0.1659,0.4431,1800,0.3786,0.6214,0.6747,0.0385,0.0989,0.0407,0.0064,0.1404255319,57030,0.0099,9800,0,0.2084,0.0124,0,0.1042,0.0546,0,0.0248,0,0,0.0471,0.0273,0,0.0422,0.2705,0,0,0.7247,324450000,1000,15700
"Saint Anselm College","NH",0.75,580,615,650,560,605,650,0.1329,0.6877,2000,0.3892,0.6108,0.8626,0.0158,0.0453,0.0118,0.0034,0.130806846,41230,0.0186,8900,0.014,0.0558,0.0279,0.0047,0.0721,0.0372,0.0349,0.0047,0,0,0.0209,0,0,0.0419,0.1837,0.193,0.1767,0.7294,164005484,1000,14750
"New Mexico Institute of Mining and Technology","NM",0.8,580,635,690,590,640,690,0.318,0.4802,1200,0.7051,0.2949,0.5157,0.0137,0.3127,0.0435,0.1503,0.2629107981,21624,0.0351,8700,0.6596,0.0491,0.0982,0.014,0.0175,0.0246,0,0,0,0,0.0877,0,0,0,0,0,0.007,0.6959,51598540,1150,8624
"South Dakota School of Mines and Technology","SD",0.77,565,615,665,590,640,690,0.2018,0.4996,2100,0.768,0.232,0.8311,0.0155,0.0551,0.0127,0.0663,0.1831357049,14390,0.0236,9500,0.7452,0.03,0.0664,0.0043,0,0,0,0,0,0,0.1006,0,0,0,0,0,0,0.8619,69986653,2040,8770
"McNeese State University","LA",0.81,510,560,610,500,565,630,0.3227,0.3564,5800,0.4061,0.5939,0.677,0.1609,0.0384,0.0152,0.1327,0.3848015489,15970,0.0097,6900,0.096,0.0335,0.0062,0.1903,0.052,0.0185,0.0599,0.0018,0.0106,0,0.0176,0,0.0467,0.0115,0.0335,0.0899,0.1586,1,21540782,1300,8624
"Hofstra University","NY",0.68,580,620,660,580,630,680,0.2164,0.4695,6400,0.4464,0.5536,0.5488,0.0945,0.1317,0.1181,0.0349,0.2353177796,45890,0.0135,13900,0.068,0.0366,0.0064,0.0032,0.0622,0.0276,0.0205,0.0148,0,0,0.0289,0,0,0.0109,0.0776,0.1123,0.2559,0.4223,633700987,1000,15700
"Biola University","CA",0.7,550,605,660,530,590,650,0.3041,0.563,4000,0.3672,0.6328,0.4542,0.0275,0.2074,0.1506,0.0688,0.2355072464,40556,0.0089,7700,0.0044,0.0656,0.0078,0.0033,0.0845,0.0311,0.0734,0.0022,0,0,0.0211,0,0,0.01,0.0712,0.0834,0.1613,0.6093,161976205,1970,11514
"Georgian Court University","NJ",0.71,480,530,580,478,529,580,0.3881,0.6192,1600,0.2497,0.7503,0.6303,0.0981,0.1503,0.0258,0.164,0.4211356467,30860,0.0237,8500,0,0.0623,0.003,0.003,0.1513,0.1098,0,0.0119,0,0,0,0,0,0.0356,0,0.1869,0.1632,0.3322,54858481,1350,11200
"Stevenson University","MD",0.81,510,555,600,500,545,590,0.3084,0.601,3100,0.356,0.644,0.5486,0.2587,0.0726,0.0381,0.1184,0.3069435432,34412,0.0062,8200,0,0.0821,0.0037,0,0.0622,0.0062,0.0572,0,0.0386,0,0.0697,0,0,0.0062,0,0.2351,0.2027,0.3342,98277087,1600,13624
"Bethel University","IN",0.94,480,535,590,470,525,580,0.4233,0.6405,1200,0.3756,0.6244,0.6584,0.1048,0.1107,0.0111,0.2121,0.3245125348,28490,0.0121,5800,0.0121,0.0242,0.003,0.0514,0.0332,0.0151,0.0876,0.0453,0,0,0,0,0,0.0091,0.0242,0.1631,0.1964,0.9867,9867949,1254,9160
"Bay Path University","MA",0.72,500,555,610,460,510,560,0.5491,0.8653,1800,0,1,0.5433,0.1422,0.2217,0.0178,0.5751,0.4970662196,31821,0,7800,0,0.1115,0,0.0632,0.2305,0,0.0632,0,0.0595,0,0.0372,0,0.0074,0,0,0.1413,0.2193,0.2334,53589755,1600,12799
"Azusa Pacific University","CA",0.67,520,575,630,510,570,630,0.3127,0.4386,5100,0.3422,0.6578,0.3569,0.0614,0.3403,0.1,0.1898,0.3798259924,37930,0.0054,9000,0.0036,0.0226,0.0066,0.0554,0.1114,0.0185,0.0357,0.0036,0,0,0.0179,0,0,0.0066,0.0447,0.3169,0.1281,0.4,79062591,1972,10916
"University of Michigan-Ann Arbor","MI",0.23,660,700,740,680,735,790,0.1715,0.2866,31000,0.5004,0.4996,0.567,0.04,0.0689,0.156,0.017,0.2057218455,52390,0.0239,11800,0.1605,0.0876,0.0171,0.0057,0.0837,0.0181,0.0083,0.0195,0,0,0.1213,0.0088,0,0.012,0.1101,0.0428,0.0924,0.8276,12273834000,1048,11996
"Manor College","PA",0.86,380,430,480,370,425,480,0.6235,0.749,600,0.2707,0.7293,0.3599,0.3631,0.1656,0.0382,0.2122,0.5032822757,15092,0,4600,0,0,0,0.0734,0.0826,0,0.055,0,0,0,0.0275,0,0,0,0,0.5872,0.1009,0.481,2852752,1250,7962
"University of Nevada-Las Vegas","NV",0.81,520,570,620,510,570,630,0.3719,0.3315,25200,0.4336,0.5664,0.2881,0.0792,0.3126,0.1661,0.219,0.4234979633,24342,0.0061,10900,0.0321,0.0608,0.0101,0,0.0777,0.0239,0.0559,0.0063,0,0,0.029,0.0096,0,0.0096,0.0709,0.0571,0.2775,0.9822,249044000,1250,10892
"Barton College","NC",0.45,470,520,570,470,515,560,0.4477,0.7592,1000,0.4225,0.5775,0.5688,0.2171,0.0766,0.0116,0.1399,0.3500931099,31012,0.0089,6000,0,0.0759,0.0045,0.0402,0.0402,0,0.0491,0.0089,0,0,0,0,0,0.0134,0.0134,0.2455,0.1741,0.96,29641809,1200,10422
"University of Alaska Fairbanks","AK",0.76,520,585,650,510,570,630,0.2352,0.2145,4400,0.4224,0.5776,0.4993,0.0361,0.0864,0.0188,0.4797,0.3988326848,19866,0.0062,9700,0.0828,0.0546,0.0194,0.0652,0.0344,0.0088,0.0308,0.0141,0.0018,0,0.0203,0,0,0.0026,0.015,0.1295,0.1225,0.6068,114579711,2000,10440
"Young Harris College","GA",0.65,490,535,580,460,505,550,0.2604,0.2954,900,0.4802,0.5198,0.6674,0.1123,0.0496,0.0055,0.0086,0.282,26887,0.0103,5700,0,0.1134,0.0361,0,0.1598,0.0567,0.0258,0.0206,0,0,0,0,0,0.0412,0,0,0.2216,0.5234,109058744,0,11326
